Date (GMT-4),Action,Size,Market,Full market,Mark Price,Acceptable Price,Execution Price,Trigger Price,Price Impact,Transaction ID,PnL ($)
2024-08-16 07:54:30,Update Stop Loss,"-$3,736.88",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $58,717.29",,https://arbiscan.io/tx/0xc4d54f38810e1e0c9f699bac79fec5b25a5150b35e12faf6707ba7457e206eec,
2024-08-16 07:54:30,Create Limit,"+$3,736.88",Short BTC/USD,BTC/USD [BTC-USDC],,">  $58,142.04",,">  $58,316.99",,https://arbiscan.io/tx/0xc4d54f38810e1e0c9f699bac79fec5b25a5150b35e12faf6707ba7457e206eec,
2024-08-15 16:43:19,Market Decrease,"-$1,084.32",Short BTC/USD,BTC/USD [BTC-USDC],"$56,795.53","<  $57,052.78","$56,883.32",,-$1.63,https://arbiscan.io/tx/0x214bd3ca1b4595acdde70d4ee1e5f2cd841f75267200b0a55155d116e3970c8d,$28.70
2024-08-15 15:03:14,Update Stop Loss,"-$1,084.32",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $58,303.91",,https://arbiscan.io/tx/0x9d21bff9dea49c7303c3f75bf753a27cd345ccb69ca4ce784e90cef15cd6c0ce,
2024-08-15 14:01:59,Market Increase,"+$1,084.32",Short BTC/USD,BTC/USD [BTC-USDC],"$58,455.92",">  $58,288.10","$58,472.11",,+$0.30,https://arbiscan.io/tx/0xc0825f3391f773ff0b1085933604a76466faf9247e52a998d135e4361e4d24da,
2024-08-15 14:01:57,Update Stop Loss,"-$1,084.32",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,696.95",,https://arbiscan.io/tx/0xcd0b8e83c2234893f22201b37c5899e9a064d5be7f12ae976546b80e04b5a296,
2024-08-15 13:57:33,Execute Stop Loss,"-$2,204.45",Long BTC/USD,BTC/USD [BTC-USDC],"$59,155.81",,"$59,173.32",,+$0.65,https://arbiscan.io/tx/0xac6b82ee0e4b07c9b039828cc9b7076979254edb8856b242c45edccf01dc3b17,$2.96
2024-08-15 12:17:20,Update Stop Loss,"-$2,204.45",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $59,156.02",,https://arbiscan.io/tx/0xafb239cf37a062692a84d861b136671ea19c1f32e4c72ba3ebae1fd42009608f,
2024-08-15 09:12:16,Market Increase,"+$2,204.45",Long BTC/USD,BTC/USD [BTC-USDC],"$59,043.55","<  $59,219.80","$59,062.85",,-$0.72,https://arbiscan.io/tx/0xce32c997b4e57848a39b71f85cfcdb54d48311e9b8fb0a06f78579bc290e75cc,
2024-08-15 09:12:14,Create Stop Loss,"-$2,204.45",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,399.91",,https://arbiscan.io/tx/0x2c84c8b14342a22f240ecefa8919546fa45ac51772729c2befebaf6656109a36,
2024-08-15 08:51:32,Execute Stop Loss,"-$3,501.22",Long BTC/USD,BTC/USD [BTC-USDC],"$58,796.66",,"$58,803.68",,+$0.42,https://arbiscan.io/tx/0x478eb1e93643c22f7f2e793a4ec1355be40213d7877308736f88eada02131d28,$3.77
2024-08-15 08:48:09,Update Stop Loss,"-$3,501.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,806.38",,https://arbiscan.io/tx/0x558475247bda19de8e1464c8d33e6c5076d2f08b4fc47a093798ac5ae1850892,
2024-08-15 08:19:11,Market Increase,"+$3,501.22",Long BTC/USD,BTC/USD [BTC-USDC],"$58,697.09","<  $58,884.90","$58,710.91",,-$0.82,https://arbiscan.io/tx/0x3fb7f2e948f582d52197a3ccca8d920fb2b0b88539fa6fdbd1907e76f1c1db33,
2024-08-15 08:19:09,Create Stop Loss,"-$3,501.22",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,276.87",,https://arbiscan.io/tx/0x70d1c02f6557511878e444ff8ee85b9de0294a3847351e87f2cb96a8e9a2ba46,
2024-08-15 08:17:50,Market Decrease,"-$1,193.78",Short BTC/USD,BTC/USD [BTC-USDC],"$58,691.11","<  $58,902.89","$58,705.02",,-$0.28,https://arbiscan.io/tx/0x7e4ed6abc83cb8519e4c86b8a8a996b16a04ad7c0a8df824b52c6fb657a8682c,$10.10
2024-08-14 21:33:05,Update Stop Loss,"-$1,193.78",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,131.44",,https://arbiscan.io/tx/0x5db07294c0095452eb0d0018bfe00c7279dbbe82f452898c593de784e567fe75,
2024-08-14 17:57:14,Update Stop Loss,"-$1,193.78",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,229.62",,https://arbiscan.io/tx/0x1d4b9eba0917ef2976c92f78c29201b2e54a3b0651771d0a9483aa733b5be5d1,
2024-08-14 13:13:01,Update Stop Loss,"-$1,193.78",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $59,990.32",,https://arbiscan.io/tx/0x942283347c3b15ccd8fe20d514c54238d8bd916865794d8b51669fab28ea2836,
2024-08-14 10:36:12,Execute Limit,"+$1,193.78",Short BTC/USD,BTC/USD [BTC-USDC],"$59,267.66",">  $59,082.11","$59,256.86",,-$0.22,https://arbiscan.io/tx/0x6a41067bdc57f9a2f1a1a145b9cdd32e709958c11345e6faa31df2f399e195bc,
2024-08-14 10:35:34,Create Limit,"+$1,193.78",Short BTC/USD,BTC/USD [BTC-USDC],,">  $59,082.11",,">  $59,265.83",,https://arbiscan.io/tx/0x0d1ba97c128308fdb675b5ad0d22022d0da4c5e9aa9984aae683651e7c5b5ec7,
2024-08-14 10:35:34,Cancel Stop Loss,"-$2,265.40",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $61,160.13",,https://arbiscan.io/tx/0x0d1ba97c128308fdb675b5ad0d22022d0da4c5e9aa9984aae683651e7c5b5ec7,
2024-08-14 10:35:34,Create Stop Loss,"-$1,193.78",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $60,591.52",,https://arbiscan.io/tx/0x0d1ba97c128308fdb675b5ad0d22022d0da4c5e9aa9984aae683651e7c5b5ec7,
2024-08-14 10:01:46,Market Decrease,-$457.69,Short BTC/USD,BTC/USD [BTC-USDC],"$59,496.50","<  $59,690.84","$59,482.26",,+$0.11,https://arbiscan.io/tx/0x1a16d09395849ffb1177a597f0b8b4fa561b2416c2f4a3848ead4b4126788c35,$2.30
2024-08-14 09:54:54,Market Increase,+$457.69,Short BTC/USD,BTC/USD [BTC-USDC],"$59,849.49",">  $59,587.71","$59,813.08",,-$0.28,https://arbiscan.io/tx/0x925d4acf1c9bc9f42225a34cc85bcfe494df69e74a8b85fc2fbd351026a5e83d,
2024-08-14 09:54:52,Create Stop Loss,"-$2,265.40",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $61,160.13",,https://arbiscan.io/tx/0xa78e727438843426e6b00acc69b868e14baae82dd51530367ab8c9225d77fcd2,
2024-08-13 23:01:58,Execute Stop Loss,"-$1,807.71",Short BTC/USD,BTC/USD [BTC-USDC],"$60,904.86",,"$60,902.87",,+$0.06,https://arbiscan.io/tx/0x3a462e2e71580ea48b39522f95006639ca8f7d10d1d40afb82fe81586e145916,-$17.71
2024-08-13 21:56:23,Update Stop Loss,"-$1,807.71",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $60,887.48",,https://arbiscan.io/tx/0xae9a88b9b5adc182637fed8be12c33827009754aa0ebe84854983a1fe9da33b6,
2024-08-13 15:23:13,Execute Limit,"+$1,807.71",Short BTC/USD,BTC/USD [BTC-USDC],"$60,388.73",">  $60,170.93","$60,345.55",,-$1.29,https://arbiscan.io/tx/0x7ae2164c7f4436a039d89d3358cd53bb3ca27671b439f5e8e7fccaba7b944187,
2024-08-13 15:21:33,Create Stop Loss,"-$1,807.71",Short BTC/USD,BTC/USD [BTC-USDC],,,,">  $61,189.97",,https://arbiscan.io/tx/0xd3a052111de338fa32203e9c1444fcb3d09e0ea4cab5110ba9ff6b9dc28b3547,
2024-08-13 15:21:33,Create Limit,"+$1,807.71",Short BTC/USD,BTC/USD [BTC-USDC],,">  $60,170.93",,">  $60,388.33",,https://arbiscan.io/tx/0xd3a052111de338fa32203e9c1444fcb3d09e0ea4cab5110ba9ff6b9dc28b3547,
2024-08-13 13:50:28,Execute Stop Loss,"-$1,896.10",Long BTC/USD,BTC/USD [BTC-USDC],"$61,171.11",,"$61,127.40",,-$1.39,https://arbiscan.io/tx/0x70d893475f7a1dae44b8c49407c647afdef16d90b2974f96d60a2b0552ead9f0,$46.34
2024-08-13 13:36:15,Cancel Stop Loss,"-$3,211.18",Short ETH/USD,ETH/USD [WETH-USDC],,,,">  $2,362.91",,https://arbiscan.io/tx/0x2087a9d1c0e94c4886ee430399496d674726e1056a7d54a9dd97ea04bcf50bfe,
2024-08-13 13:36:15,Cancel Stop Loss,"-$3,039.57",Long SOL/USD,SOL/USD [SOL-USDC],,,,<  $142.140,,https://arbiscan.io/tx/0x2087a9d1c0e94c4886ee430399496d674726e1056a7d54a9dd97ea04bcf50bfe,
2024-08-13 13:36:15,Cancel Stop Loss,"-$1,896.10",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,862.48",,https://arbiscan.io/tx/0x2087a9d1c0e94c4886ee430399496d674726e1056a7d54a9dd97ea04bcf50bfe,
2024-08-13 13:35:55,Update Stop Loss,"-$1,896.10",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $61,173.50",,https://arbiscan.io/tx/0xe11a5467492ed64bf8b7c39ee09a3fa278cd97541ab54d229f0cd9e0bd2caf33,
2024-08-13 12:59:04,Update Stop Loss,"-$1,896.10",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $60,430.85",,https://arbiscan.io/tx/0x8e739d85b87e3be2718f988efd8b341bcddaf1826b3d0f8c62d47d59fe91ddc6,
2024-08-13 12:43:17,Create Stop Loss,"-$1,896.10",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $59,917.75",,https://arbiscan.io/tx/0xcfbfbc45400772da8ff35457d5bd386300408ce27f146d5f526f31bc304ea946,
2024-08-13 10:59:35,Market Increase,"+$1,896.10",Long BTC/USD,BTC/USD [BTC-USDC],"$59,631.65","<  $59,842.09","$59,628.47",,+$0.10,https://arbiscan.io/tx/0x2b5add638ce8430e7a2db39feeb89d07802dbadd4b80af0859da862db279f05e,
2024-08-13 10:59:33,Create Stop Loss,"-$1,896.10",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $58,862.48",,https://arbiscan.io/tx/0x0f944496242675db7318ee31db6794d64304fcd492c34c9c8cee5630549b3c54,
2024-08-13 10:59:33,Cancel Take Profit,"-$2,902.15",Long BTC/USD,BTC/USD [BTC-USDC],,">  $59,908.67",,">  $60,088.94",,https://arbiscan.io/tx/0x0f944496242675db7318ee31db6794d64304fcd492c34c9c8cee5630549b3c54,
